nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
158148,525,87,813,31,4,0,89.0,0,301.2342857142857,0.29417410714285713,22
44962,203,41,859,17,2,0,0.0,0,221.48768472906403,0.2162965671182266,22
12017,70,25,875,7,0,0,0,0,171.67142857142858,0.16764787946428572,22
13009,75,25,875,9,0,0,0,0,173.45333333333335,0.16938802083333335,22
111217,471,100,800,39,6,0,0.5,0,236.12951167728238,0.23059522624734607,22
73029,274,54,846,14,0,0,0,0,266.52919708029196,0.2602824190237226,22
20677,68,23,877,9,0,0,0,0,304.0735294117647,0.29694680606617646,22
11008,60,36,864,9,0,0,0,0,183.46666666666667,0.17916666666666667,22
36491,115,18,882,10,2,0,0.0,0,317.31304347826085,0.3098760190217391,22
1854,15,4,896,2,0,0,0,0,123.6,0.120703125,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
89,1,0,900,2,1,0,0,0,89.0,0.0869140625,22
260,1,0,900,2,1,0,0.0,0,260.0,0.25390625,22
89,1,0,900,2,1,0,0,0,89.0,0.0869140625,22
248,1,0,900,2,1,0,0.0,0,248.0,0.2421875,22
165934,450,35,865,24,6,0,0.0,0,368.7422222222222,0.3600998263888889,22
63531,244,29,871,28,10,0,0.0,0,260.37295081967216,0.2542704597848361,22
42979,212,46,854,25,14,0,111.8,0,202.7311320754717,0.19797962116745282,22
91247,383,50,850,42,36,0,58.7,0,238.24281984334203,0.2326590037532637,22
145955,514,85,815,49,32,0,48.09090909090909,0,283.9591439688716,0.2773038515321012,22
157302,538,83,817,51,40,0,66.75,0,292.3828996282528,0.2855301754182156,22
58906,247,46,854,26,4,0,0.0,0,238.48582995951418,0.23289631831983806,22
23241,117,45,855,14,0,0,0,0,198.64102564102564,0.1939853766025641,22
15516,90,27,873,9,0,0,0,0,172.4,0.168359375,22
97383,378,56,844,32,0,0,0,0,257.62698412698415,0.25158885168650796,22
84004,295,38,862,33,22,0,38.5,0,284.7593220338983,0.2780852754237288,22
116097,486,36,864,53,44,0,87.11111111111111,0,238.8827160493827,0.2332839023919753,22
117614,445,65,835,41,26,0,35.8,0,264.3011235955056,0.25810656601123594,22
90282,396,32,868,52,26,0,60.5,0,227.9848484848485,0.22264145359848486,22
46468,219,49,851,28,12,0,68.0,0,212.1826484018265,0.2072096175799087,22
100011,422,34,866,48,38,0,64.4,0,236.99289099526067,0.23143837011255924,22
31526,179,34,866,23,0,0,0,0,176.12290502793297,0.1719950244413408,22
63968,247,55,845,28,20,0,30.8,0,258.97975708502025,0.2529099190283401,22
39066,175,31,869,18,4,0,3.0,0,223.2342857142857,0.21800223214285713,22
698,2,1,899,2,0,0,0,0,349.0,0.3408203125,22
143583,560,77,823,37,8,0,188.66666666666666,0,256.3982142857143,0.25038888113839286,22
42533,112,20,880,9,2,0,0.0,0,379.75892857142856,0.3708583286830357,22
25884,188,18,882,28,2,0,0.0,0,137.68085106382978,0.13445395611702127,22
199606,433,58,842,16,0,2,0,0.0,460.9838337182448,0.45017952511547343,22
105712,438,146,754,21,0,0,0,0,241.35159817351598,0.2356949200913242,22
40896,125,51,849,9,0,0,0,0,327.168,0.3195,22
49028,205,33,867,21,0,0,0,0,239.1609756097561,0.23355564024390243,22
67497,382,69,831,33,0,0,0,0,176.6937172774869,0.1725524582787958,22
56710,220,46,854,17,2,0,0.0,0,257.77272727272725,0.2517311789772727,22
73109,198,42,858,11,0,0,0,0,369.23737373737373,0.36058337279040403,22
120820,313,47,853,21,2,2,0.0,0.0,386.0063897763578,0.37695936501597443,22
30366,114,37,863,10,0,0,0,0,266.36842105263156,0.2601254111842105,22
23948,82,15,885,9,0,0,0,0,292.0487804878049,0.28520388719512196,22
10556,46,9,891,6,2,0,0.0,0,229.47826086956522,0.22409986413043478,22
76970,275,68,832,24,2,0,0.0,0,279.8909090909091,0.2733309659090909,22
2745,11,9,891,6,0,0,0,0,249.54545454545453,0.24369673295454544,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
89,1,0,900,2,1,0,0,0,89.0,0.0869140625,22
260,1,0,900,2,1,0,0.0,0,260.0,0.25390625,22
130876,550,90,810,44,28,0,79.88888888888889,0,237.95636363636365,0.23237926136363637,22
62601,241,34,866,30,20,0,41.75,0,259.7551867219917,0.25366717453319504,22
67226,256,38,862,29,18,0,102.2,0,262.6015625,0.25644683837890625,22
17365,70,13,887,6,2,0,0.0,0,248.07142857142858,0.24225725446428573,22
38674,148,12,888,15,8,0,0.5,0,261.31081081081084,0.25518633868243246,22
112066,393,85,815,31,20,0,68.85714285714286,0,285.15521628498726,0.2784718909033079,22
36586,127,35,865,15,4,0,0.0,0,288.0787401574803,0.28132689468503935,22
49951,190,57,843,20,10,0,70.0,0,262.9,0.25673828125,22
66,1,1,899,2,0,0,0,0,66.0,0.064453125,22
66,1,1,899,2,0,0,0,0,66.0,0.064453125,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
74,1,1,899,2,0,0,0,0,74.0,0.072265625,22
74,1,0,900,2,0,0,0,0,74.0,0.072265625,22
66,1,0,900,2,0,0,0,0,66.0,0.064453125,22
254,1,0,900,2,0,0,0,0,254.0,0.248046875,22
66,1,0,900,2,0,0,0,0,66.0,0.064453125,22
149,1,0,900,2,0,0,0,0,149.0,0.1455078125,22
66,1,0,900,2,0,0,0,0,66.0,0.064453125,22
33174,173,45,855,12,0,0,0,0,191.757225433526,0.18726291546242774,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
34530,143,21,879,13,0,0,0,0,241.46853146853147,0.23580911276223776,22
48299,166,31,869,14,4,0,249.0,0,290.9578313253012,0.28413850715361444,22
133390,373,42,858,15,0,0,0,0,357.61394101876675,0.3492323642761394,22
27499,196,24,876,27,0,0,0,0,140.30102040816325,0.13701271524234693,22
27343,137,59,841,18,0,0,0,0,199.5839416058394,0.19490619297445255,22
41746,113,37,863,9,0,0,0,0,369.43362831858406,0.36077502765486724,22
115227,440,75,825,42,28,0,18.0,0,261.87954545454545,0.25574174360795454,22
66740,283,73,827,24,12,0,105.0,0,235.8303886925795,0.23030311395759717,22
24402,99,32,868,10,2,0,0.0,0,246.4848484848485,0.24070785984848486,22
9881,36,7,893,8,2,0,0.0,0,274.47222222222223,0.2680392795138889,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
74,1,1,899,2,0,0,0,0,74.0,0.072265625,22
74,1,0,900,2,0,0,0,0,74.0,0.072265625,22
74,1,0,900,2,0,0,0,0,74.0,0.072265625,22
74,1,0,900,2,0,0,0,0,74.0,0.072265625,22
74,1,0,900,2,0,0,0,0,74.0,0.072265625,22
66,1,0,900,2,0,0,0,0,66.0,0.064453125,22
62466,220,38,862,15,0,0,0,0,283.93636363636364,0.27728160511363636,22
89205,337,62,838,39,20,0,4.25,0,264.7032640949555,0.25849928134273,22
68042,290,52,848,33,20,0,37.666666666666664,0,234.62758620689655,0.22912850215517241,22
24615,58,8,892,9,4,0,0.0,0,424.3965517241379,0.4144497575431034,22
46650,139,18,882,14,8,0,90.0,0,335.6115107913669,0.32774561600719426,22
30758,110,15,885,13,6,0,0.5,0,279.6181818181818,0.2730646306818182,22
25496,97,25,875,13,2,0,0.0,0,262.8453608247423,0.2566849226804124,22
63358,202,50,850,22,8,0,80.5,0,313.65346534653463,0.3063022122524752,22
35313,147,43,857,12,6,0,2.0,0,240.22448979591837,0.23459422831632654,22
10485,71,25,875,9,0,0,0,0,147.67605633802816,0.14421489876760563,22
9371,40,13,887,2,0,0,0,0,234.275,0.2287841796875,22
40527,147,22,878,15,10,0,137.75,0,275.6938775510204,0.2692323022959184,22
66063,273,32,868,21,4,0,289.5,0,241.98901098901098,0.23631739354395603,22
3399,41,24,876,7,0,0,0,0,82.90243902439025,0.0809594131097561,22
356,1,1,899,2,0,0,0,0,356.0,0.34765625,22
342,1,0,900,2,0,0,0,0,342.0,0.333984375,22
89,1,1,899,2,1,0,0,0,89.0,0.0869140625,22
260,1,0,900,2,1,0,0.0,0,260.0,0.25390625,22
28736,126,22,878,13,2,0,0.0,0,228.06349206349208,0.22271825396825398,22
46849,230,28,872,31,22,0,120.4,0,203.69130434782608,0.1989172894021739,22
70878,245,38,862,29,20,0,25.666666666666668,0,289.29795918367347,0.2825175382653061,22
84338,360,53,847,41,28,0,75.28571428571429,0,234.2722222222222,0.22878146701388888,22
104550,513,64,836,60,32,0,29.9,0,203.80116959064327,0.19902457967836257,22
6826,45,33,867,9,0,0,0,0,151.6888888888889,0.14813368055555556,22
272843,692,70,830,46,34,0,48.22222222222222,0,394.28179190751445,0.3850408124096821,22
10699,54,16,884,10,2,0,0.0,0,198.12962962962962,0.19348596643518517,22
99238,380,43,857,41,28,0,3.0,0,261.15263157894736,0.2550318667763158,22
101368,472,55,845,41,16,0,41.857142857142854,0,214.76271186440678,0.20972921080508475,22
151220,530,62,838,49,36,0,22.444444444444443,0,285.3207547169811,0.2786335495283019,22
36317,162,34,866,28,12,0,8.0,0,224.179012345679,0.21892481674382716,22
42469,195,48,852,19,10,0,59.4,0,217.78974358974358,0.21268529647435896,22
75608,388,54,846,44,4,0,40.0,0,194.8659793814433,0.19029880798969073,22
